allEarningsAmountInWei,endTimestamp,startTimestamp,entityId,entityType,entitySymbol
2180325288314222000000,2024-08-12T20:10:00Z,2024-07-29T05:50:00Z,degengame,CHANNEL,cid:degengame
90600218528411880000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,food,CHANNEL,cid:food
6153427138361366000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,skininthegame,CHANNEL,cid:skininthegame
8010129441816672000000,2024-08-12T19:50:00Z,2024-07-29T02:50:00Z,frames-devs,CHANNEL,cid:frames-devs
14143872141108802000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,degen-art,CHANNEL,cid:degen-art
35228580645667443000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,art,CHANNEL,cid:art
1872832381125215000000,2024-08-12T20:20:00Z,2024-07-29T01:50:00Z,op-stack,CHANNEL,cid:op-stack
133651819130091000000,2024-08-12T19:50:00Z,2024-07-29T00:20:00Z,f1,CHANNEL,cid:f1
5669691502785299000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,farcasther,CHANNEL,cid:farcasther
52894496627527936000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,ethereum,CHANNEL,cid:ethereum
327463404932455400000000,2024-08-12T20:20:00Z,2024-07-29T00:10:00Z,memes,CHANNEL,cid:memes
233270860812000000,2024-08-08T04:30:00Z,2024-08-01T08:10:00Z,niche-internet,CHANNEL,cid:niche-internet
5581317907605472000000,2024-08-12T20:20:00Z,2024-07-29T01:10:00Z,evm,CHANNEL,cid:evm
114606806368595790000000,2024-08-12T20:20:00Z,2024-07-29T00:03:00Z,degen,CHANNEL,cid:degen
24511227820405256000000,2024-08-12T20:20:00Z,2024-07-29T00:20:00Z,tabletop,CHANNEL,cid:tabletop
104211283334236010000,2024-08-12T14:00:00Z,2024-07-29T00:30:00Z,rewarded,CHANNEL,cid:rewarded
472931140649155000000,2024-08-12T20:20:00Z,2024-07-29T00:40:00Z,onchain,CHANNEL,cid:onchain
